job,end_time
job17-tf-cnn,1564976778.71
job4-tf-cnn,1564976819.61
job20-tf-cnn,1564976932.33
job19-torch-lenet,1564977013.98
job21-tf-cnn,1564977080.29
job29-tf-drnn,1564977210.94
job12-tf-cnn,1564977260.28
job24-tf-cnn,1564977361.47
job13-tf-drnn,1564977364.94
job6-tf-drnn,1564977412.59
job16-tf-drnn,1564977612.33
job25-tf-drnn,1564977642.37
job1-tf-drnn,1564977759.11
job11-tf-drnn,1564977770.49
job28-tf-drnn,1564977772.14
job10-torch-vae,1564978200.48
job15-torch-vae,1564978229.35
job14-torch-lenet,1564978250.77
job23-torch-lenet,1564978273.52
job27-torch-lenet,1564978280.0
job2-torch-vae,1564978282.01
job7-torch-vae,1564978315.85
job8-torch-lenet,1564978332.32
job9-torch-vae,1564978334.86
job22-torch-lenet,1564978351.99
job30-torch-vae,1564978352.27
job26-torch-vae,1564978403.46
job3-torch-vae,1564978404.06
job5-torch-vae,1564978484.21
job18-torch-vae,1564978538.12
job2-tf-cnn,1564983186.41
job39-tf-cnn,1564983417.09
job16-tf-cnn,1564983441.84
job15-tf-cnn,1564983528.43
job34-tf-drnn,1564983584.55
job18-tf-cnn,1564983613.36
job20-tf-drnn,1564983630.14
job12-tf-drnn,1564983633.56
job35-tf-cnn,1564983651.94
job32-tf-drnn,1564983685.52
job31-tf-cnn,1564983769.48
job40-tf-cnn,1564983779.91
job36-tf-drnn,1564983849.82
job19-tf-drnn,1564983945.68
job30-tf-drnn,1564984197.57
job7-torch-lenet,1564984252.55
job27-tf-birnn,1564984293.63
job5-tf-birnn,1564984365.6
job3-tf-birnn,1564984382.02
job29-tf-birnn,1564984418.78
job14-tf-birnn,1564984457.95
job10-torch-lenet,1564984604.98
job17-tf-birnn,1564984663.73
job11-torch-lenet,1564984764.59
job38-torch-vae,1564984958.26
job24-torch-lenet,1564984970.94
job9-torch-lenet,1564985062.62
job23-torch-vae,1564985325.46
job1-torch-vae,1564985336.71
job33-torch-lenet,1564985512.76
job6-torch-lenet,1564985540.35
job25-torch-vae,1564985676.6
job8-torch-vae,1564985732.88
job26-torch-lenet,1564986386.89
job37-torch-vae,1564986700.2
job6-tf-cnn,1564987840.4
job33-tf-cnn,1564987892.79
job10-tf-cnn,1564987922.4
job19-tf-cnn,1564988104.03
job32-tf-cnn,1564988220.61
job38-tf-drnn,1564988299.7
job21-tf-drnn,1564988427.68
job23-tf-cnn,1564988432.86
job3-tf-drnn,1564988518.28
job14-tf-drnn,1564988708.88
job17-tf-drnn,1564988740.15
job22-tf-drnn,1564988762.32
job18-tf-drnn,1564988848.62
job26-tf-drnn,1564988886.16
job37-tf-drnn,1564988969.58
job5-tf-drnn,1564989039.77
job36-tf-birnn,1564989073.84
job28-tf-birnn,1564989078.41
job39-tf-birnn,1564989141.83
job40-tf-birnn,1564989217.07
job24-tf-birnn,1564989292.69
job35-torch-vae,1564989356.19
job16-torch-vae,1564989366.13
job31-torch-lenet,1564989441.98
job13-torch-lenet,1564989504.53
job34-torch-vae,1564989530.43
job27-torch-vae,1564989660.48
job22-tf-cnn,1564990422.14
job27-tf-cnn,1564990527.31
job2-tf-drnn,1564990716.69
job29-tf-cnn,1564990716.69
job4-tf-drnn,1564990824.3
job13-tf-cnn,1564990844.41
job7-tf-birnn,1564990959.81
job40-tf-drnn,1564991043.85
job8-tf-drnn,1564991292.89
job10-tf-birnn,1564991473.98
job32-torch-lenet,1564991479.93
job19-tf-birnn,1564991526.43
job1-tf-birnn,1564991539.58
job34-tf-birnn,1564991585.9
job35-torch-lenet,1564991590.27
job18-torch-lenet,1564991601.62
job24-torch-vae,1564991743.65
job14-torch-vae,1564991749.31
job16-torch-lenet,1564991753.37
job28-torch-lenet,1564991787.23
job17-torch-lenet,1564991801.57
job11-torch-vae,1564992055.74
