,node,job,start_time,end_time,complete_time
1,worker-2,job7-torch-lenet,32,554.93717885,522.93717885
3,worker-1,job12-torch-lenet,60,378.99226594,318.99226594
10,master,job6-tf-cnn,72,378.992352009,306.992352009
11,worker-3,job10-torch-lenet,86,884.6492118839999,798.6492118839999
0,worker-2,job4-torch-vae,89,464.92664194099996,375.92664194099996
7,master,job11-tf-drnn,107,806.22410202,699.22410202
13,worker-3,job3-torch-vae,134,609.560080051,475.560080051
14,worker-3,job8-tf-birnn,143,1103.90066504,960.900665045
12,worker-3,job2-tf-drnn,144,887.73230195,743.73230195
2,worker-1,job1-tf-drnn,161,1005.58866191,844.5886619089999
8,master,job13-tf-cnn,194,378.99228692099996,184.992286921
9,master,job5-torch-vae,200,679.114675999,479.11467599900004
5,worker-1,job15-torch-vae,265,1070.00263095,805.0026309489999
4,worker-1,job14-torch-vae,292,1150.89228892,858.892288923
6,worker-1,job9-tf-birnn,296,1486.90022087,1190.90022087
