node,job,start_time,init_time
worker-2,job22-torch-lenet,463,1565016736.01
worker-1,job21-tf-cnn,287,1565016736.01
worker-2,job23-torch-lenet,427,1565016736.01
worker-4,job2-torch-vae,86,1565016736.01
worker-4,job9-torch-vae,396,1565016736.01
worker-4,job20-tf-cnn,148,1565016736.01
worker-3,job24-tf-cnn,542,1565016736.01
worker-4,job26-torch-vae,263,1565016736.01
worker-3,job13-tf-drnn,154,1565016736.01
worker-2,job16-tf-drnn,341,1565016736.01
worker-1,job7-torch-vae,141,1565016736.01
worker-1,job5-torch-vae,331,1565016736.01
worker-4,job10-torch-vae,95,1565016736.01
worker-3,job25-tf-drnn,391,1565016736.01
worker-1,job8-torch-lenet,397,1565016736.01
worker-2,job1-tf-drnn,497,1565016736.01
worker-1,job12-tf-cnn,455,1565016736.01
worker-3,job15-torch-vae,229,1565016736.01
worker-4,job18-torch-vae,581,1565016736.01
worker-4,job29-tf-drnn,26,1565016736.01
worker-4,job3-torch-vae,156,1565016736.01
worker-3,job27-torch-lenet,434,1565016736.01
worker-2,job19-torch-lenet,55,1565016736.01
worker-3,job30-torch-vae,468,1565016736.01
worker-2,job11-tf-drnn,523,1565016736.01
worker-4,job28-tf-drnn,486,1565016736.01
worker-3,job4-tf-cnn,41,1565016736.01
worker-1,job6-tf-drnn,191,1565016736.01
worker-3,job17-tf-cnn,2,1565016736.01
worker-3,job14-torch-lenet,433,1565016736.01
