,node,job,start_time,end_time,completed_time
28,worker-1,job17-tf-cnn,2,34.59000015258789,32.59000015258789
19,worker-1,job29-tf-drnn,26,489.8900001049042,463.8900001049042
26,worker-2,job4-tf-cnn,41,73.37000012397766,32.37000012397766
22,worker-4,job19-torch-lenet,55,226.70000004768372,171.70000004768372
3,worker-1,job2-torch-vae,86,1440.1900000572205,1354.1900000572205
12,worker-2,job10-torch-vae,95,1835.0099999904633,1740.0099999904633
10,worker-3,job7-torch-vae,141,1159.5299999713898,1018.5299999713898
5,worker-1,job20-tf-cnn,148,194.7300000190735,46.730000019073486
8,worker-1,job13-tf-drnn,154,680.1200001239777,526.1200001239777
20,worker-2,job3-torch-vae,156,2409.7799999713898,2253.7799999713898
27,worker-3,job6-tf-drnn,191,658.8800001144409,467.8800001144409
17,worker-4,job15-torch-vae,229,1294.130000114441,1065.130000114441
7,worker-1,job26-torch-vae,263,1527.3200001716614,1264.3200001716614
1,worker-2,job21-tf-cnn,287,333.6800000667572,46.6800000667572
11,worker-4,job5-torch-vae,331,1399.039999961853,1068.039999961853
9,worker-4,job16-tf-drnn,341,832.6500000953674,491.65000009536743
13,worker-1,job25-tf-drnn,391,936.9700000286102,545.9700000286102
4,worker-2,job9-torch-vae,396,2793.210000038147,2397.210000038147
14,worker-3,job8-torch-lenet,397,1132.1200001239777,735.1200001239777
2,worker-1,job23-torch-lenet,427,1314.2699999809265,887.2699999809265
29,worker-2,job14-torch-lenet,433,2419.930000066757,1986.9300000667572
21,worker-3,job27-torch-lenet,434,1163.5,729.5
16,worker-3,job12-tf-cnn,455,519.0800001621246,64.08000016212463
0,worker-4,job22-torch-lenet,463,1226.630000114441,763.6300001144409
23,worker-2,job30-torch-vae,468,2814.7300000190735,2346.7300000190735
25,worker-3,job28-tf-drnn,486,998.5099999904633,512.5099999904633
15,worker-4,job1-tf-drnn,497,1009.0900001525879,512.0900001525879
24,worker-1,job11-tf-drnn,523,1065.289999961853,542.289999961853
6,worker-1,job24-tf-cnn,542,630.670000076294,88.67000007629395
18,worker-2,job18-torch-vae,581,2828.0700001716614,2247.0700001716614
